"Scenario","Sector","Subsector","Technology","Enduse","Unit","Parameters","Fuel","Period","FuelGroup","Technology_Group","Value"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Petrol","2060","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Electricity","2018","Electricity","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Electricity","2025","Electricity","Mobile Motive Power","0.042237"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Electricity","2030","Electricity","Mobile Motive Power","0.059152"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Electricity","2035","Electricity","Mobile Motive Power","0.055651"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Electricity","2040","Electricity","Mobile Motive Power","0.052179"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Electricity","2045","Electricity","Mobile Motive Power","0.048923"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Electricity","2050","Electricity","Mobile Motive Power","0.045870"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Electricity","2055","Electricity","Mobile Motive Power","0.043007"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Electricity","2060","Electricity","Mobile Motive Power","0.040324"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Petrol","2018","Fossil Fuels","Mobile Motive Power","0.067000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Petrol","2025","Fossil Fuels","Mobile Motive Power","0.020419"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Petrol","2030","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Petrol","2035","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Petrol","2040","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Petrol","2045","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Petrol","2050","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Petrol","2055","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","End Use Demand","Petrol","2060","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","2018","Electricity","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","2025","Electricity","Mobile Motive Power","0.120677"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","2030","Electricity","Mobile Motive Power","0.169004"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","2035","Electricity","Mobile Motive Power","0.159004"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","2040","Electricity","Mobile Motive Power","0.149082"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","2045","Electricity","Mobile Motive Power","0.139779"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","2050","Electricity","Mobile Motive Power","0.131057"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","2055","Electricity","Mobile Motive Power","0.122878"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Electricity","2060","Electricity","Mobile Motive Power","0.115211"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Petrol","2018","Fossil Fuels","Mobile Motive Power","0.670000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Petrol","2025","Fossil Fuels","Mobile Motive Power","0.204191"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Petrol","2030","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Petrol","2035","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Petrol","2040","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Petrol","2045","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Petrol","2050","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Petrol","2055","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","PJ","Fuel Consumption","Petrol","2060","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2018","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2025","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2030","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2035","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2040","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2045","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2050","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2055","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2060","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","End Use Demand","Electricity","2018","Electricity","Heating/Cooling","1.830087"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","End Use Demand","Electricity","2025","Electricity","Heating/Cooling","0.976047"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","End Use Demand","Electricity","2030","Electricity","Heating/Cooling","0.366017"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","End Use Demand","Electricity","2035","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","End Use Demand","Electricity","2040","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","End Use Demand","Electricity","2045","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","End Use Demand","Electricity","2050","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","End Use Demand","Electricity","2055","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","End Use Demand","Electricity","2060","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","Fuel Consumption","Electricity","2018","Electricity","Heating/Cooling","0.522882"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","Fuel Consumption","Electricity","2025","Electricity","Heating/Cooling","0.278870"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","Fuel Consumption","Electricity","2030","Electricity","Heating/Cooling","0.104576"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","Fuel Consumption","Electricity","2035","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","Fuel Consumption","Electricity","2040","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","Fuel Consumption","Electricity","2045","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","Fuel Consumption","Electricity","2050","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","Fuel Consumption","Electricity","2055","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Cooling)","Refrigeration","PJ","Fuel Consumption","Electricity","2060","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2018","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2025","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2030","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2035","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2040","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2045","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2050","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2055","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2060","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2018","Electricity","Heating/Cooling","1.495864"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2025","Electricity","Heating/Cooling","1.979263"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2030","Electricity","Heating/Cooling","1.916218"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2035","Electricity","Heating/Cooling","1.848818"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2040","Electricity","Heating/Cooling","1.777668"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2045","Electricity","Heating/Cooling","1.709255"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2050","Electricity","Heating/Cooling","1.643475"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2055","Electricity","Heating/Cooling","1.580227"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","End Use Demand","Electricity","2060","Electricity","Heating/Cooling","1.519413"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2018","Electricity","Heating/Cooling","0.427390"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2025","Electricity","Heating/Cooling","0.565504"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2030","Electricity","Heating/Cooling","0.547491"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2035","Electricity","Heating/Cooling","0.528234"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2040","Electricity","Heating/Cooling","0.507905"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2045","Electricity","Heating/Cooling","0.488359"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2050","Electricity","Heating/Cooling","0.469564"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2055","Electricity","Heating/Cooling","0.451493"
"Kea","Agriculture","Dairy Cattle Farming","Heat Recovery System (Heating)","Water Heating","PJ","Fuel Consumption","Electricity","2060","Electricity","Heating/Cooling","0.434118"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2018","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2025","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2030","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2035","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2040","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2045","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2050","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2055","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2060","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2018","Electricity","Heating/Cooling","0.578136"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2025","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2030","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2035","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2040","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2045","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2050","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2055","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","End Use Demand","Electricity","2060","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2018","Electricity","Heating/Cooling","0.695420"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2025","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2030","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2035","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2040","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2045","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2050","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2055","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2060","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2018","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2025","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2030","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2035","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2040","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2045","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2050","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2055","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2060","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2018","Electricity","Stationary Motive Power","0.774872"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2025","Electricity","Stationary Motive Power","0.504337"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2030","Electricity","Stationary Motive Power","0.310361"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2035","Electricity","Stationary Motive Power","0.116386"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2040","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2045","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2050","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2055","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2060","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2018","Electricity","Stationary Motive Power","1.106959"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2025","Electricity","Stationary Motive Power","0.720482"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2030","Electricity","Stationary Motive Power","0.443373"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2035","Electricity","Stationary Motive Power","0.166265"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2040","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2045","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2050","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2055","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2060","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2018","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2025","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2030","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2035","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2040","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2045","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2050","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2055","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2060","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2018","Electricity","Stationary Motive Power","0.307128"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2025","Electricity","Stationary Motive Power","0.457933"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2030","Electricity","Stationary Motive Power","0.575375"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2035","Electricity","Stationary Motive Power","0.696107"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2040","Electricity","Stationary Motive Power","0.742748"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2045","Electricity","Stationary Motive Power","0.678991"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2050","Electricity","Stationary Motive Power","0.620706"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2055","Electricity","Stationary Motive Power","0.567424"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2060","Electricity","Stationary Motive Power","0.518716"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","Fuel Consumption","Electricity","2018","Electricity","Stationary Motive Power","0.369478"
