commname,csets,unit
ALUM-EFURNC-PH_HIGH,DEM,PJ
CHEM-ELCTR-ELCTR,DEM,PJ
CHEM-HEATR-PH_INT,DEM,PJ
CHEM-SH_LOW,DEM,PJ
CHEM-LIGHT-LIGHT,DEM,PJ
CHEM-MOTOR-MTV_STA,DEM,PJ
CHEM-BOILR-PH_HIGH,DEM,PJ
CHEM-FURNC-PH_HIGH,DEM,PJ
CHEM-FURNC-PH_INT,DEM,PJ
CHEM-BURNR-PH_HIGH,DEM,PJ
CNST-ENGIN-MTV_STA,DEM,PJ
CNST-ICENG-MTV_MOB,DEM,PJ
CNST-ELCTR-ELCTR,DEM,PJ
CNST-SH_LOW,DEM,PJ
CNST-LIGHT-LIGHT,DEM,PJ
CNST-MOTOR-MTV_STA,DEM,PJ
DARY-BOILR-PH_INT,DEM,PJ
DARY-BOILR-PH_LOW,DEM,PJ
DARY-BOILR-WH_LOW,DEM,PJ
DARY-ACOMP-COMP_AIR,DEM,PJ
DARY-FAN-FAN,DEM,PJ
DARY-FRIDG-FRIDG,DEM,PJ
DARY-SH_LOW,DEM,PJ
DARY-LIGHT-LIGHT,DEM,PJ
DARY-MOTOR-MTV_STA,DEM,PJ
DARY-PUMP-PUMP,DEM,PJ
DARY-HEATX-PH_INT,DEM,PJ
DARY-HEATX-WH_LOW,DEM,PJ
FOOD-BOILR-PH_INT,DEM,PJ
FOOD-BOILR-PH_LOW,DEM,PJ
FOOD-BOILR-WH_LOW,DEM,PJ
FOOD-IOVEN-CH_INT,DEM,PJ
FOOD-ACOMP-COMP_AIR,DEM,PJ
FOOD-ELCTR-ELCTR,DEM,PJ
FOOD-FRIDG-FRIDG,DEM,PJ
FOOD-SH_LOW,DEM,PJ
FOOD-LIGHT-LIGHT,DEM,PJ
FOOD-MOTOR-MTV_STA,DEM,PJ
FOOD-PUMP-PUMP,DEM,PJ
MEAT-BOILR-PH_INT,DEM,PJ
MEAT-BOILR-WH_LOW,DEM,PJ
MEAT-FRIDG-FRIDG,DEM,PJ
MEAT-HEATR-WH_LOW,DEM,PJ
MEAT-LIGHT-LIGHT,DEM,PJ
MEAT-MOTOR-MTV_STA,DEM,PJ
METH-FDSTK-FDSTK,DEM,PJ
METH-REFRM-PH_HIGH,DEM,PJ
MINE-SH_LOW,DEM,PJ
MINE-ENGIN-MTV_STA,DEM,PJ
MINE-ICENG-MTV_MOB,DEM,PJ
MINE-ELCTR-ELCTR,DEM,PJ
MINE-LIGHT-LIGHT,DEM,PJ
MINE-MOTOR-MTV_STA,DEM,PJ
MINE-BOILR-PH_INT,DEM,PJ
MNRL-FURNC-PH_HIGH,DEM,PJ
MNRL-LIGHT-LIGHT,DEM,PJ
MNRL-MOTOR-MTV_STA,DEM,PJ
MNRL-PUMP-PUMP,DEM,PJ
MNRL-BOILR-PH_INT,DEM,PJ
MNRL-BOILR-PH_LOW,DEM,PJ
MNRL-FURNC-PH_INT,DEM,PJ
