Scenario,Attribute,Variable,ProcessGroup,Process,PlantName,TechnologyGroup,Technology,CommodityGroup,Commodity,Fuel,Region,Vintage,TimeSlice,Period,Value,Unit
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_WindOn_MillCreek,Mill Creek,Wind,Onshore wind,,-,,NI,0,-,2023,0.06,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_WindOn_TararuaStage12,Tararua Stage 1 & 2,Wind,Onshore wind,,-,,NI,0,-,2023,0.073,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_WindOn_TararuaStage3,Tararua Stage 3,Wind,Onshore wind,,-,,NI,0,-,2023,0.093,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_WindOn_TeApiti,Te Āpiti,Wind,Onshore wind,,-,,NI,0,-,2023,0.09,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_WindOn_TeRereHau,Te Rere Hau,Wind,Onshore wind,,-,,NI,0,-,2023,0.0485,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_WindOn_TeUku,Te Uku,Wind,Onshore wind,,-,,NI,0,-,2023,0.0644,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_WindOn_TuriteaNorth,Turitea North,Wind,Onshore wind,,-,,NI,0,-,2023,0.119,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_WindOn_TuriteaSouth,Turitea South,Wind,Onshore wind,,-,,NI,0,-,2023,0.103,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_WindOn_Waipipi,Waipipi,Wind,Onshore wind,,-,,NI,0,-,2023,0.133,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_WindOn_WestWind,West Wind,Wind,Onshore wind,,-,,NI,0,-,2023,0.1426,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_WoodCHP_Generic,Generic wood cogeneration,Thermal,Wood Cogen,,-,,NI,0,-,2023,0.0447156792007435,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_BioRecip_Generic,Generic biogas generation,Thermal,Reciprocating Biogas,,-,,NI,0,-,2024,0.0355661263372596,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_BiogasCHP_Generic,Generic biogas cogeneration,Thermal,Biogas Cogen,,-,,NI,0,-,2024,0.0103496571191365,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_CCGT_HuntlyUnit5E3P,Huntly Unit 5 (E3P),Thermal,CCGT,,-,,NI,0,-,2024,0.403,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_DslPkr_Generic,Generic diesel generation,Thermal,Diesel peaker,,-,,NI,0,-,2024,0.0198593653623965,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_DslPkr_Whirinaki,Whirinaki,Thermal,Diesel peaker,,-,,NI,0,-,2024,0.155,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_GasPkr_HuntlyUnit6P40,Huntly Unit 6 (P40),Thermal,Natural gas peaker,,-,,NI,0,-,2024,0.05,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_GasPkr_JunctionRoad,Junction Road,Thermal,Natural gas peaker,,-,,NI,0,-,2024,0.1,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_GasPkr_McKee,McKee,Thermal,Natural gas peaker,,-,,NI,0,-,2024,0.1,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_GasPkr_StratfordPeaker,Stratford Peaker,Thermal,Natural gas peaker,,-,,NI,0,-,2024,0.21,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_GeoCHP_Generic,Generic geothermal cogeneration,Geothermal,Geothermal Cogen,,-,,NI,0,-,2024,0.0067298630136985,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_Geo_Generic,Generic geothermal generation,Geothermal,Geothermal,,-,,NI,0,-,2024,0.0376926323949706,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_Geo_Kawerau,Kawerau,Geothermal,Geothermal,,-,,NI,0,-,2024,0.106,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_Geo_Mokai,Mokai,Geothermal,Geothermal,,-,,NI,0,-,2024,0.112,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_Geo_NgaAwaPurua,Nga Awa Pūrua,Geothermal,Geothermal,,-,,NI,0,-,2024,0.14,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_Geo_NgaTamariki,Ngā Tamariki,Geothermal,Geothermal,,-,,NI,0,-,2024,0.085,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_Geo_NgawhaOEC13,Ngāwhā (OEC1-3),Geothermal,Geothermal,,-,,NI,0,-,2024,0.028,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_Geo_NgawhaOEC4,Ngāwhā (OEC4),Geothermal,Geothermal,,-,,NI,0,-,2024,0.0315,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_Geo_Ohaaki,Ōhaaki,Geothermal,Geothermal,,-,,NI,0,-,2024,0.05,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_Geo_Poihipi,Poihipi,Geothermal,Geothermal,,-,,NI,0,-,2024,0.055,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_Geo_Rotokawa,Rotokawa,Geothermal,Geothermal,,-,,NI,0,-,2024,0.038,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_Geo_TOPP1,TOPP1,Geothermal,Geothermal,,-,,NI,0,-,2024,0.0215,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_Geo_TeAhiOMaui,Te Ahi O Maui,Geothermal,Geothermal,,-,,NI,0,-,2024,0.027,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_Geo_TeHukaBinary,Te Huka Binary,Geothermal,Geothermal,,-,,NI,0,-,2024,0.028,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_Geo_TeMihi,Te Mihi,Geothermal,Geothermal,,-,,NI,0,-,2024,0.166,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_Geo_WairakeiBinary,Wairakei Binary,Geothermal,Geothermal,,-,,NI,0,-,2024,0.0144,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_HydSC_Generic,Generic hydro generation,Hydro,Hydro (Schedulable),,-,,NI,0,-,2024,0.0208906447120902,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_Rankine_HuntlyUnits14,Huntly Units 1-4,Thermal,Rankine,,-,,NI,0,-,2024,0.5,GW
